NOME_IES	NOME_ESPECIALIZACAO	Area_Conhecimento	CARGA_HORARIA	DURACAO_MESES	MODALIDADE	VAGAS	MUNICIPIO	UF	REGIAO	SITUACAO	Categoria_IES
UNIVERSIDADE FEDERAL DE GOIÁS	MATEMÁTICA PARA PROFESSORES DE ENSINO FUNDAMENTAL E MÉDIO	Computação e Tecnologias da Informação e Comunicação (TIC)	376	21	Educação Presencial	60	Jataí	GO	CENTRO-OESTE	Ativo	Pública Federal
UNIVERSIDADE FEDERAL DE GOIÁS	GESTÃO PÚBLICA	Negócios, administração e direito	370	19	Educação Presencial	38	Goiânia	GO	CENTRO-OESTE	Ativo	Pública Federal
UNIVERSIDADE FEDERAL DE GOIÁS	AVALIAÇÃO E PRESCRIÇÃO DE EXERCÍCIOS FÍSICOS PARA POPULAÇÕES ESPECIAIS	Saúde e bem-estar	360	16	Educação Presencial	40	Jataí	GO	CENTRO-OESTE	Ativo	Pública Federal
UNIVERSIDADE FEDERAL DE GOIÁS	ENSINO DE BIOLOGIA	Computação e Tecnologias da Informação e Comunicação (TIC)	450	24	Educação a Distância	300	Catalão	GO	CENTRO-OESTE	Ativo	Pública Federal
INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PIAUÍ	MBA em Gestão Estratégica de Mercado	Negócios, administração e direito	420	18	Educação Presencial	60	Picos	PI	NORDESTE	Ativo	Pública Federal
INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PIAUÍ	Engenharia de Software com Ênfase  em Desenvolvimento para Web	Computação e Tecnologias da Informação e Comunicação (TIC)	360	18	Educação Presencial	20	Picos	PI	NORDESTE	Ativo	Pública Federal
UNIVERSIDADE FEDERAL DE GOIÁS	LAZER E EDUCAÇÃO	Engenharia, produção e construção	420	24	Educação Presencial	40	Goiânia	GO	CENTRO-OESTE	Ativo	Pública Federal
UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL	Enfermagem em Terapia Intensiva	Saúde e bem-estar	420	9	Educação Presencial	25	Porto Alegre	RS	SUL	Ativo	Pública Federal
UNIVERSIDADE FEDERAL DE GOIÁS	TREINAMENTO DE FORÇA	Educação	364	15	Educação Presencial	60	Goiânia	GO	CENTRO-OESTE	Ativo	Pública Federal
UNIVERSIDADE FEDERAL DE GOIÁS	ENFERMAGEM OBSTÉTRICA	Saúde e bem-estar	500	11	Educação Presencial	40	Goiânia	GO	CENTRO-OESTE	Ativo	Pública Federal
UNIVERSIDADE FEDERAL DE GOIÁS	CAPACITAÇÃO E PLANEJAMENTO EM TURISMO	Agricultura, silvicultura, pesca e veterinária	410	23	Educação Presencial	40	Goiânia	GO	CENTRO-OESTE	Ativo	Pública Federal
UNIVERSIDADE FEDERAL DE GOIÁS	ENSINO INTERDISCIPLINAR SOBRE INFÂNCIA E DIREITOS HUMANOS	Educação	400	23	Educação a Distância	300	Catalão	GO	CENTRO-OESTE	Ativo	Pública Federal
UNIVERSIDADE FEDERAL DE GOIÁS	GESTÃO HOSPITALAR E SERVIÇOS DE SAÚDE	Saúde e bem-estar	360	12	Educação Presencial	30	Catalão	GO	CENTRO-OESTE	Ativo	Pública Federal
UNIVERSIDADE FEDERAL DO ACRE	Ciências da Religião	Negócios, administração e direito	420	12	Educação Presencial	50	Rio Branco	AC	NORTE	Ativo	Pública Federal
FUNDAÇÃO UNIVERSIDADE FEDERAL DA GRANDE DOURADOS	Ensino de Matemática no Ensino Médio: Matem@tica na Pr@tica	Educação	405	18	Educação a Distância	60	Dourados	MS	CENTRO-OESTE	Ativo	Pública Federal
FUNDAÇÃO UNIVERSIDADE FEDERAL DA GRANDE DOURADOS	Ensino de Sociologia no Ensino Médio	Educação	405	18	Educação a Distância	60	Dourados	MS	CENTRO-OESTE	Ativo	Pública Federal
FUNDAÇÃO UNIVERSIDADE FEDERAL DA GRANDE DOURADOS	Educação Especial	Educação	450	22	Educação Presencial	55	Dourados	MS	CENTRO-OESTE	Ativo	Pública Federal
UNIVERSIDADE DA INTEGRAÇÃO INTERNACIONAL DA LUSOFONIA AFRO-BRASILEIRA	SAÚDE DA FAMÍLIA	Saúde e bem-estar	510	18	Educação a Distância	400	Redenção	CE	NORDESTE	Ativo	Pública Federal
INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DA BAHIA	Educação e suas Tecnologias	Educação	450	15	Educação Presencial	35	Valença	BA	NORDESTE	Ativo	Pública Federal
UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO	Ciências da Saúde - 2ª Edição	Saúde e bem-estar	330	11	Educação Presencial	60	Botucatu	SP	SUDESTE	Ativo	Pública Estadual
INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA FARROUPILHA	Manejo de Culturas de Grãos	Agricultura, silvicultura, pesca e veterinária	360	18	Educação Presencial	25	São Vicente do Sul	RS	SUL	Ativo	Pública Federal
UNIVERSIDADE DO ESTADO DO AMAPÁ	Metodologia do Ensino das Línguas e Literaturas Estrangeiras (Inglês, Francês e Espanhol)	Educação	405	18	Educação Presencial	60	Macapá	AP	NORTE	Ativo	Pública Estadual
UNIVERSIDADE FEDERAL DO RIO DE JANEIRO	Sistema de Gestão Único para Organizações Públicas	Engenharia, produção e construção	375	24	Educação Presencial	40	Rio de Janeiro	RJ	SUDESTE	Ativo	Pública Federal
UNIVERSIDADE ESTADUAL DA REGIÃO TOCANTINA DO MARANHÃO	Recuperação de áreas degradadas	Agricultura, silvicultura, pesca e veterinária	360	14	Educação Presencial	40	Imperatriz	MA	NORDESTE	Ativo	Pública Estadual
UNIVERSIDADE FEDERAL DO PARÁ	Ensino de História	Artes e humanidades	360	17	Educação Presencial	20	Belém	PA	NORTE	Ativo	Pública Federal
UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE	Gestão da Tecnologia da Informação - Turma II	Negócios, administração e direito	420	18	Educação Presencial	50	Natal	RN	NORDESTE	Ativo	Pública Federal
UNIVERSIDADE FEDERAL DA INTEGRAÇÃO LATINO-AMERICANA	Ensino Aprendizagem de Línguas Adicionais	Educação	400	18	Educação Presencial	51	Foz do Iguaçu	PR	SUL	Ativo	Pública Federal
